slice,config_tag,region,hemisphere,is_leaf,marker,class,count,density
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA2","Right",true,DAPI,DAPI+,149,2401.910
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA2","Right",true,Fos,Fos+,11,177.322
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA2","Right",true,TdT,TdT+,2,32.240
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA2","Right",true,Double+,Double+,0,0.000
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: VENT","Left",false,DAPI,DAPI+,8036,5052.536
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: VENT","Left",false,Fos,Fos+,241,151.526
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: VENT","Left",false,TdT,TdT+,136,85.508
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: VENT","Left",false,Double+,Double+,15,9.431
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA3","Right",false,DAPI,DAPI+,1280,2357.445
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA3","Right",false,Fos,Fos+,94,173.125
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA3","Right",false,TdT,TdT+,46,84.721
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Right: CA3","Right",false,Double+,Double+,13,23.943
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SSs6b","Left",true,DAPI,DAPI+,214,4682.731
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SSs6b","Left",true,Fos,Fos+,47,1028.450
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SSs6b","Left",true,TdT,TdT+,7,153.173
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SSs6b","Left",true,Double+,Double+,4,87.528
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SI","Left",true,DAPI,DAPI+,935,4397.865
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SI","Left",true,Fos,Fos+,44,206.958
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SI","Left",true,TdT,TdT+,3,14.111
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SI","Left",true,Double+,Double+,1,4.704
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SSp","Left",false,DAPI,DAPI+,15032,4762.767
M3-hipp1_s5_MIP.ome.tiff - M3-hipp1_s5,sigma2.0_nPeak2_prom100_min20.0_max250.0_exp5.0,"Left: SSp","Left",false,Fos,Fos+,5656,1792.058
