config_tag,marker,class,hemisphere,region,n_slices,mean_density,sd_density,min_density,max_density,cv,total_count
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AAA,1,3948.631,,3948.631,3948.631,,1695
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ACB,2,4744.856,1061.2937394557648,3994.408,5495.304,0.2236724864686652,1247
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AD,2,4013.0935,691.8778224401327,3523.862,4502.325,0.17240510903624168,497
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ADP,1,4741.743,,4741.743,4741.743,,265
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AHN,3,4187.383333333334,373.64758012374904,3767.145,4482.133,0.089231758924328,4645
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AI,5,3002.5854,363.8260666208511,2589.956,3580.938,0.12117093043243704,7620
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AIp,5,3002.5854,363.8260666208511,2589.956,3580.938,0.12117093043243704,7620
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AIp1,5,1802.0216,600.5597330543397,946.212,2400.006,0.33326999690477616,702
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AIp2/3,5,3287.6044,400.8543316596441,2825.952,3858.67,0.12192900449325475,2729
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AIp5,5,3088.5796,543.9262366817765,2652.137,3999.083,0.17610886139433687,2508
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AIp6a,5,3470.4218,392.6938972312913,2972.828,3900.976,0.11315451546301701,1556
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AIp6b,4,3035.1814999999997,2125.911605979656,0.0,4770.831,0.7004232221300954,125
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AM,2,4113.909,1276.8962538937917,3211.007,5016.811,0.3103851480170786,1081
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AMd,2,4019.9105,1345.0578120662694,3068.811,4971.01,0.33459894494324427,672
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AMv,2,4284.5689999999995,1138.7106182871921,3479.379,5089.759,0.2657701669146167,409
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: APN,3,3278.4363333333336,2843.0814816009643,0.0,5065.991,0.8672065559712351,3608
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ASO,1,3363.892,,3363.892,3363.892,,7
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ATN,2,4072.0545,411.10551862082826,3781.359,4362.75,0.10095776434741437,7992
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUD,3,3997.9313333333334,63.06845615149729,3926.532,4046.05,0.015775272482960092,24846
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: AUDd,2,4529.8675,283.851753851372,4329.154,4730.581,0.06266226415041322,3577
