slice,config_tag,region,hemisphere,is_leaf,marker,class,count,density
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CTXpl","Left",false,DAPI,DAPI+,38280,3170.967
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CTXpl","Left",false,TdT,TdT+,1457,120.692
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VAL","Left",true,DAPI,DAPI+,245,3684.100
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VAL","Left",true,TdT,TdT+,6,90.223
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: LZ","Left",true,DAPI,DAPI+,423,4425.254
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: LZ","Left",true,TdT,TdT+,16,167.385
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPd","Left",false,DAPI,DAPI+,1849,4082.451
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPd","Left",false,TdT,TdT+,76,167.802
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISC","Right",false,DAPI,DAPI+,1730,3507.747
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISC","Right",false,TdT,TdT+,16,32.442
