section,region,marker,k,threshold,count,pct
wBA1-2_2-1_s1,__section__,TdT,2.0,509.69225427999993,18782,7.930750554206693
wBA1-2_2-1_s1,__section__,TdT,2.25,574.3072610649999,15841,6.688905309827932
wBA1-2_2-1_s1,__section__,TdT,2.5,638.9222678499999,13624,5.752771033463528
wBA1-2_2-1_s1,__section__,TdT,2.75,703.5372746349999,11881,5.016784545550512
wBA1-2_2-1_s1,__section__,TdT,3.0,768.1522814199999,10451,4.412963158450332
wBA1-2_2-1_s1,LA,TdT,2.0,509.69225427999993,109,5.006890215893431
wBA1-2_2-1_s1,LA,TdT,2.25,574.3072610649999,89,4.088194763435921
wBA1-2_2-1_s1,LA,TdT,2.5,638.9222678499999,77,3.536977491961415
wBA1-2_2-1_s1,LA,TdT,2.75,703.5372746349999,58,2.66421681212678
wBA1-2_2-1_s1,LA,TdT,3.0,768.1522814199999,53,2.4345429490124024
wBA1-2_2-1_s1,BLA,TdT,2.0,509.69225427999993,129,4.910544347164065
wBA1-2_2-1_s1,BLA,TdT,2.25,574.3072610649999,102,3.882755995432052
wBA1-2_2-1_s1,BLA,TdT,2.5,638.9222678499999,95,3.6162923486867147
wBA1-2_2-1_s1,BLA,TdT,2.75,703.5372746349999,82,3.121431290445375
wBA1-2_2-1_s1,BLA,TdT,3.0,768.1522814199999,73,2.7788351732013705
wBA1-2_2-1_s1,BMA,TdT,2.0,509.69225427999993,174,7.750556792873051
wBA1-2_2-1_s1,BMA,TdT,2.25,574.3072610649999,155,6.904231625835189
wBA1-2_2-1_s1,BMA,TdT,2.5,638.9222678499999,139,6.1915367483296215
wBA1-2_2-1_s1,BMA,TdT,2.75,703.5372746349999,126,5.612472160356347
wBA1-2_2-1_s1,BMA,TdT,3.0,768.1522814199999,116,5.167037861915367
wBA1-2_2-1_s2,__section__,TdT,2.0,399.28173975999994,17348,7.794016560263454
wBA1-2_2-1_s2,__section__,TdT,2.25,449.0836822299999,14549,6.536496825874625
wBA1-2_2-1_s2,__section__,TdT,2.5,498.88562469999994,12414,5.577295456485504
wBA1-2_2-1_s2,__section__,TdT,2.75,548.68756717,10844,4.871934262133785
wBA1-2_2-1_s2,__section__,TdT,3.0,598.4895096399999,9559,4.294616341915977
wBA1-2_2-1_s2,LA,TdT,2.0,399.28173975999994,11,4.583333333333333
wBA1-2_2-1_s2,LA,TdT,2.25,449.0836822299999,9,3.75
wBA1-2_2-1_s2,LA,TdT,2.5,498.88562469999994,8,3.3333333333333335
wBA1-2_2-1_s2,LA,TdT,2.75,548.68756717,6,2.5
wBA1-2_2-1_s2,LA,TdT,3.0,598.4895096399999,5,2.0833333333333335
wBA1-2_2-1_s2,BLA,TdT,2.0,399.28173975999994,52,10.970464135021096
wBA1-2_2-1_s2,BLA,TdT,2.25,449.0836822299999,44,9.282700421940929
wBA1-2_2-1_s2,BLA,TdT,2.5,498.88562469999994,41,8.649789029535865
wBA1-2_2-1_s2,BLA,TdT,2.75,548.68756717,40,8.438818565400844
wBA1-2_2-1_s2,BLA,TdT,3.0,598.4895096399999,36,7.594936708860759
wBA1-2_2-1_s2,BMA,TdT,2.0,399.28173975999994,69,6.777996070726916
wBA1-2_2-1_s2,BMA,TdT,2.25,449.0836822299999,58,5.697445972495088
wBA1-2_2-1_s2,BMA,TdT,2.5,498.88562469999994,50,4.911591355599215
wBA1-2_2-1_s2,BMA,TdT,2.75,548.68756717,43,4.2239685658153245
wBA1-2_2-1_s2,BMA,TdT,3.0,598.4895096399999,39,3.831041257367387
wBA1-2_2-1_s3,__section__,TdT,2.0,372.69887007999995,17317,7.980552099175077
wBA1-2_2-1_s3,__section__,TdT,2.25,418.35197883999996,14581,6.719664500668234
wBA1-2_2-1_s3,__section__,TdT,2.5,464.00508759999997,12400,5.714549057560256
wBA1-2_2-1_s3,__section__,TdT,2.75,509.6581963599999,10694,4.928337711415272
wBA1-2_2-1_s3,__section__,TdT,3.0,555.3113051199999,9316,4.293285404857366
wBA1-2_2-1_s3,LA,TdT,2.0,372.69887007999995,0,0.0
wBA1-2_2-1_s3,LA,TdT,2.25,418.35197883999996,0,0.0
wBA1-2_2-1_s3,LA,TdT,2.5,464.00508759999997,0,0.0
wBA1-2_2-1_s3,LA,TdT,2.75,509.6581963599999,0,0.0
wBA1-2_2-1_s3,LA,TdT,3.0,555.3113051199999,0,0.0
wBA1-2_2-1_s3,BLA,TdT,2.0,372.69887007999995,0,0.0
wBA1-2_2-1_s3,BLA,TdT,2.25,418.35197883999996,0,0.0
wBA1-2_2-1_s3,BLA,TdT,2.5,464.00508759999997,0,0.0
wBA1-2_2-1_s3,BLA,TdT,2.75,509.6581963599999,0,0.0
wBA1-2_2-1_s3,BLA,TdT,3.0,555.3113051199999,0,0.0
wBA1-2_2-1_s3,BMA,TdT,2.0,372.69887007999995,0,0.0
wBA1-2_2-1_s3,BMA,TdT,2.25,418.35197883999996,0,0.0
wBA1-2_2-1_s3,BMA,TdT,2.5,464.00508759999997,0,0.0
wBA1-2_2-1_s3,BMA,TdT,2.75,509.6581963599999,0,0.0
wBA1-2_2-1_s3,BMA,TdT,3.0,555.3113051199999,0,0.0
wBA1-2_2-1_s4,__section__,TdT,2.0,477.35632676,18774,8.06270130985613
wBA1-2_2-1_s4,__section__,TdT,2.25,537.396548855,15842,6.803521580416577
wBA1-2_2-1_s4,__section__,TdT,2.5,597.43677095,13590,5.836375348937084
wBA1-2_2-1_s4,__section__,TdT,2.75,657.476993045,11779,5.058621430105218
wBA1-2_2-1_s4,__section__,TdT,3.0,717.51721514,10443,4.484861498818982
wBA1-2_2-1_s4,LA,TdT,2.0,477.35632676,38,3.0819140308191404
wBA1-2_2-1_s4,LA,TdT,2.25,537.396548855,29,2.3519870235198703
wBA1-2_2-1_s4,LA,TdT,2.5,597.43677095,25,2.02757502027575
wBA1-2_2-1_s4,LA,TdT,2.75,657.476993045,21,1.70316301703163
wBA1-2_2-1_s4,LA,TdT,3.0,717.51721514,17,1.37875101378751
wBA1-2_2-1_s4,BLA,TdT,2.0,477.35632676,109,5.293831957260807
wBA1-2_2-1_s4,BLA,TdT,2.25,537.396548855,87,4.225352112676056
wBA1-2_2-1_s4,BLA,TdT,2.5,597.43677095,74,3.593977659057795
wBA1-2_2-1_s4,BLA,TdT,2.75,657.476993045,64,3.1083050024283634
wBA1-2_2-1_s4,BLA,TdT,3.0,717.51721514,58,2.816901408450704
wBA1-2_2-1_s4,BMA,TdT,2.0,477.35632676,120,7.648183556405353
wBA1-2_2-1_s4,BMA,TdT,2.25,537.396548855,103,6.564690885914596
wBA1-2_2-1_s4,BMA,TdT,2.5,597.43677095,88,5.608667941363926
